reaction_id,gr_ratio,gr
23CCMPtex,1,0.986509
23CGMPtex,1,0.986509
23CUMPtex,1,0.986509
23DAPPAt2pp,1,0.986509
23DAPPAtex,1,0.986509
23PDE2pp,1,0.986509
23PDE4pp,1,0.986509
23PDE7pp,1,0.986509
23PDE9pp,1,0.986509
26DAHtex,1,0.986509
2AGPA120tipp,1,0.986509
2AGPA140tipp,1,0.986509
2AGPA141tipp,1,0.986509
2AGPA160tipp,1,0.986509
2AGPA161tipp,1,0.986509
2AGPA180tipp,1,0.986509
2AGPA181tipp,1,0.986509
2AGPE120tipp,1,0.986509
2AGPE140tipp,1,0.986509
2AGPE141tipp,1,0.986509
2AGPE160tipp,1,0.986509
2AGPE161tipp,1,0.986509
2AGPE180tipp,1,0.986509
2AGPE181tipp,1,0.986509
2AGPEAT120,1,0.986509
2AGPEAT140,1,0.986509
2AGPEAT141,1,0.986509
2AGPEAT160,1,0.986509
2AGPEAT161,1,0.986509
2AGPEAT180,1,0.986509
2AGPEAT181,1,0.986509
2AGPG120tipp,1,0.986509
2AGPG140tipp,1,0.986509
2AGPG141tipp,1,0.986509
2AGPG160tipp,1,0.986509
2AGPG161tipp,1,0.986509
2AGPG180tipp,1,0.986509
2AGPG181tipp,1,0.986509
2AGPGAT120,1,0.986509
2AGPGAT140,1,0.986509
2AGPGAT141,1,0.986509
2AGPGAT160,1,0.986509
2AGPGAT161,1,0.986509
2AGPGAT180,1,0.986509
2AGPGAT181,1,0.986509
2DGULRGx,1,0.986509
2DGULRGy,1,0.986509
2DGULRx,1,0.986509
2DGULRy,1,0.986509
2MAHMP,1,0.986509
34dhpactex,1,0.986509
3AMACHYD,1,0.986509
3AMPtex,1,0.986509
3CMPtex,1,0.986509
3GMPtex,1,0.986509
3HAD100,1,0.986509
3HAD120,1,0.986509
3HAD121,1,0.986509
3HAD140,1,0.986509
3HAD141,1,0.986509
3HAD160,1,0.986509
3HAD161,1,0.986509
3HAD180,1,0.986509
3HAD181,1,0.986509
3HAD40,1,0.986509
3HAD60,1,0.986509
3HAD80,1,0.986509
3HCINNMH,1,0.986509
3HPPPNH,1,0.986509
3HPPtex,1,0.986509
3HPPtpp,1,0.986509
3KGK,1,0.986509
3NTD2pp,1,0.986509
3NTD4pp,1,0.986509
3NTD7pp,1,0.986509
3NTD9pp,1,0.986509
3OAR100,1,0.986509
3OAR120,1,0.986509
3OAR121,1,0.986509
3OAR140,0,0
3OAR141,1,0.986509
3OAR160,1,0.986509
3OAR161,1,0.986509
3OAR180,1,0.986509
3OAR181,1,0.986509
3OAR40,1,0.986509
3OAR60,1,0.986509
3OAR80,1,0.986509
3OAS100,1,0.986509
3OAS120,1,0.986509
3OAS121,1,0.986509
3OAS140,0,0
3OAS141,1,0.986509
3OAS160,1,0.986509
3OAS161,1,0.986509
3OAS180,1,0.986509
3OAS181,1,0.986509
3OAS60,1,0.986509
3OAS80,1,0.986509
3OXCOAT,1,0.986509
3PEPTabcpp,1,0.986509
3PEPTtex,1,0.986509
3UMPtex,1,0.986509
42A12BOOXpp,1,0.986509
4HOXPACDtex,1,0.986509
4HTHRS,1,0.986509
4PCP,1,0.986509
4PCPpp,1,0.986509
4PEPTabcpp,1,0.986509
4PEPTtex,1,0.986509
5DGLCNR,1,0.986509
5DGLCNt2rpp,1,0.986509
5DGLCNtex,1,0.986509
5DOAN,0,0
5MTRtex,1,0.986509
5MTRtpp,1,0.986509
A5PISO,0,0
AACPS1,1,0.986509
AACPS2,1,0.986509
AACPS3,0.999339,0.985856918
AACPS4,0.999221,0.985740509
AACPS5,1,0.986509
AACPS6,1,0.986509
AACPS7,0.999597,0.986111437
AACPS8,1,0.986509
AACPS9,1,0.986509
AACTOOR,1,0.986509
AADDGT,1,0.986509
AAMYL,1,0.986509
AAMYLpp,1,0.986509
AB6PGH,1,0.986509
ABTA,1,0.986509
ABUTD,1,0.986509
ABUTt2pp,1,0.986509
ABUTtex,1,0.986509
ACACCT,1,0.986509
ACACT1r,0.98948,0.976130925
ACACT2r,0.98948,0.976130925
ACACT3r,0.98948,0.976130925
ACACT4r,0.99347,0.980067096
ACACT5r,0.995217,0.981790527
ACACT6r,0.996273,0.982832281
ACACT7r,0.998561,0.985089414
ACACT8r,1,0.986509
ACACt2pp,1,0.986509
ACACtex,1,0.986509
ACALD,1,0.986509
ACALDtex,1,0.986509
ACALDtpp,1,0.986509
ACANTHAT,1,0.986509
ACBIPGT,1,0.986509
ACCOAC,0,0
ACCOAL,1,0.986509
ACGAL1PPpp,1,0.986509
ACGAL1Ptex,1,0.986509
ACGALtex,1,0.986509
ACGAM1PPpp,1,0.986509
ACGAM1Ptex,1,0.986509
ACGAMK,1,0.986509
ACGAMT,1,0.986509
ACGAptspp,1,0.986509
ACGAtex,1,0.986509
ACGK,0,0
ACGS,0,0
ACHBS,0,0
ACKr,1,0.986509
ACLS,0,0
ACM6PH,1,0.986509
ACMAMUT,1,0.986509
ACMANAptspp,1,0.986509
ACMANAtex,1,0.986509
ACMUMptspp,1,0.986509
ACMUMtex,1,0.986509
ACNAMt2pp,1,0.986509
ACNAMtex,1,0.986509
ACNML,1,0.986509
ACOAD1f,0.98948,0.976130925
ACOAD2f,0.98948,0.976130925
ACOAD3f,0.98948,0.976130925
ACOAD4f,0.99347,0.980067096
ACOAD5f,0.995217,0.981790527
ACOAD6f,0.997901,0.984438318
ACOAD7f,0.999339,0.985856918
ACOAD8f,1,0.986509
ACOATA,1,0.986509
ACODA,0,0
ACOLIPAabctex,1,0.986509
ACONIs,1,0.986509
ACONMT,1,0.986509
ACONTa,0,0
ACONTb,0,0
ACOTA,0,0
ACPPAT120,1,0.986509
ACPPAT140,1,0.986509
ACPPAT141,1,0.986509
ACPPAT160,1,0.986509
ACPPAT161,1,0.986509
ACPPAT180,1,0.986509
ACPPAT181,1,0.986509
ACPS1,1,0.986509
ACS,1,0.986509
ACSERtex,1,0.986509
ACSERtpp,1,0.986509
ACt2rpp,1,0.986509
ACt4pp,1,0.986509
ACtex,1,0.986509
ADA,1,0.986509
ADCL,0,0
ADCS,0,0
ADD,1,0.986509
ADEt2rpp,1,0.986509
ADEtex,1,0.986509
ADK1,1,0.986509
ADK3,1,0.986509
ADK4,1,0.986509
ADMDC,1,0.986509
ADNCYC,1,0.986509
ADNK1,1,0.986509
ADNUC,1,0.986509
ADNt2pp,1,0.986509
ADNt2rpp,1,0.986509
ADNtex,1,0.986509
ADOCBIK,1,0.986509
ADOCBLS,1,0.986509
ADOCBLabcpp,1,0.986509
ADOCBLtonex,1,0.986509
ADPRDP,1,0.986509
ADPT,1,0.986509
ADSK,0,0
ADSL1r,5.73E-14,5.65495E-14
ADSL2r,0,0
ADSS,5.73E-14,5.65495E-14
AGDC,1,0.986509
AGM3PA,1,0.986509
AGM3PApp,1,0.986509
AGM3PH,1,0.986509
AGM3Pt2pp,1,0.986509
AGM4PA,1,0.986509
AGM4PApp,1,0.986509
AGM4PCP,1,0.986509
AGM4PCPpp,1,0.986509
AGM4PH,1,0.986509
AGM4Pt2pp,1,0.986509
AGMH,1,0.986509
AGMHE,1,0.986509
AGMT,1,0.986509
AGMt2pp,1,0.986509
AGMtex,1,0.986509
AGPAT120,1,0.986509
AGPAT140,1,0.986509
AGPAT141,1,0.986509
AGPAT160,0,0
AGPAT161,0,0
AGPAT180,1,0.986509
AGPAT181,1,0.986509
AGPR,0,0
AGt3,1,0.986509
AHCYSNS,0,0
AICART,0,0
AIRC2,0,0
AIRC3,0,0
AKGDH,0.995268,0.981840839
AKGt2rpp,1,0.986509
