ID,dG0_f_rc,dG0_f_rc_error
C00280,10.09169818,0.011364258
C00282,17.61137537,0.380621231
C00283,11.56537909,0.380621231
C00288,-588.4450943,0.080986467
C00294,-409.1145898,0.110639205
C00295,-591.5120087,1.214814351
C00296,-100.3384562,0.203326144
C00299,-238.3166339,0.030322622
C00300,-259.1980098,0.380621231
C00305,-455.2612344,0.380621231
C00307,563.8241748,0.148180237
C00309,-740.7029218,0.102828072
C00310,-746.5097197,0.109293202
C00311,-1155.656285,0.060803648
C00312,-747.0021183,0.205121562
C00313,-349.1441595,0.232190864
C00314,-63.56954729,0.135801455
C00318,-60.28816969,0.054759407
C00322,89.81966209,0.096250558
C00327,-33.42172339,0.287301999
C00331,1.53299178,0.098589957
C00332,-145.3847591,0.096146066
C00333,-0.698916475,0.047577654
C00334,68.46041287,0.074208691
C00337,-621.7638877,1.096439097
C00342,26.05095,0.095155308
C00343,-26.05095,0.095155308
C00345,-1964.912563,0.068025006
C00346,-632.7848852,0.081493422
C00349,19.22355351,0.035153085
C00352,-1607.971434,0.246233368
C00354,-2599.390237,0.051907112
C00357,-266.2086573,0.134915354
C00360,7.624052,0.002643203
C00361,-455.1477647,0.098839105
C00362,455.1477647,0.098839105
C00363,-457.1753395,0.098839105
C00364,457.1753395,0.098839105
C00366,-314.6953631,0.380621231
C00376,32.78436209,0.106074175
C00379,-783.7304839,0.13072178
C00385,251.4171341,0.121677401
C00387,1652.262304,0.45041408
C00390,-50.83676081,0.095155308
C00392,-943.9398622,0.090931038
C00394,-764.1204122,0.406909658
C00399,50.83676081,0.095155308
C00407,-343.8636951,0.380621231
C00408,-19.67276197,0.019895607
C00414,12.82498386,0.027223476
C00415,-27.14488599,0.067509159
C00417,-916.1373083,0.105254443
C00423,-126.7813695,0.447197192
C00424,631.0108877,0.053192146
C00429,102.7874568,0.038600825
C00437,392.8942201,0.188315112
C00438,-821.7705202,0.933554272
C00439,-308.7646251,0.149158166
C00440,-38.66463097,0.621125935
C00441,-456.3246242,0.606015096
C00445,0.631078811,0.087625841
C00449,-456.1142453,0.297313246
C00455,998.5530429,0.360820598
C00459,-107.3626271,0.109976715
C00463,220.9625567,0.207798718
C00468,11.02208924,0.027223476
C00469,-179.105545,0.088513139
C00473,4.319198951,0.110406152
C00474,-777.4339903,0.166401077
C00475,-19.03076779,0.062546034
C00476,-749.3945305,0.1754485
C00482,343.2653879,0.120154482
C00491,-666.5450959,0.380621231
C00492,0.868761491,0.011894413
C00493,-13.60555813,0.023067451
C00497,-849.7822496,0.78877202
C00498,-2606.799031,0.184280561
C00499,-646.4595631,2.142016912
C00501,-490.9416979,0.137265998
C00504,8.552753803,0.492786662
C00507,-0.089051544,0.031718436
C00508,2.45002121,0.031718436
C00515,33.19348278,0.216690893
C00522,34.85417931,0.190435957
C00534,82.41888913,0.212047012
C00535,-10.09169818,0.011364258
C00543,-3.344059,0.380621231
C00546,27.79392025,0.085367785
C00552,-66.21217187,0.137591291
C00556,-18.96679503,0.019293867
C00558,0.698916475,0.047577654
C00559,501.7546667,0.186656507
C00565,37.17322791,0.380621231
C00570,632.7848852,0.081493422
C00575,-795.3112598,0.110774038
C00577,-437.1453783,0.081824406
C00579,-11.16082075,0.01295018
C00580,-15.4376,0.095155308
C00581,-320.5177388,1.969298685
C00583,581.4999475,0.121250923
C00588,-704.1951105,0.030908465
C00590,-13.82690328,0.035754825
C00603,-678.5830539,0.596723996
C00617,350.5117026,0.092837084
C00620,-1585.683263,0.093437787
C00624,-392.8942201,0.188315112
C00631,-1500.609203,0.02904646
C00636,-1755.117368,0.132607243
C00644,-1788.310404,0.088669653
C00645,159.5152629,0.027865549
C00664,310.4362271,0.073440708
C00666,0.827139934,0.095155308
C00668,0.657349308,0.095155308
C00672,-889.0931964,0.177290081
C00673,-1449.99008,0.144012302
C00680,-0.827139934,0.095155308
C00683,-336.9572021,0.652059458
C00684,-221.4251187,0.239036454
C00689,-2430.180824,0.205844518
C00697,18.7,0.380621231
C00705,-456.779892,0.098839105
C00725,14.10317637,0.019199287
C00739,153.5678595,0.255063857
C00740,72.89264707,0.063660362
C00756,-21.08346155,0.098589957
C00785,112.3905464,0.02726884
C00787,4.87E-14,9.41E-31
C00791,-23.30995718,0.380621231
C00794,-945.6794434,0.073732436
C00795,14.31685619,0.098589957
C00798,598.7391477,0.104593504
C00810,16.43234178,0.051012303
C00828,32.78957716,0.095155308
C00835,15.19759563,0.014609201
C00842,107.3626271,0.109976715
C00849,-337.6544985,0.380621231
C00854,-12.82498386,0.027223476
C00861,0.089051544,0.031718436
C00864,-106.346185,0.614095521
C00876,5.708429524,0.095155308
C00877,60.01571291,0.273280619
C00882,928.9457258,0.416118265
C00885,-73.81281104,0.10973961
C00887,104.2,0.380621231
C00905,0.278216047,0.095155308
C00920,116.6339795,0.296321129
C00922,-151.7834938,0.26262186
C00935,0.067110606,0.031718436
C00940,-637.4696411,0.323647772
C00944,-66.60184812,0.0660969
C00951,-11.02208924,0.027223476
C00956,189.4907381,0.235551972
C00966,71.49200566,0.314995198
C00975,-21.4371736,0.231103615
C00979,-668.9324001,0.460745796
C00986,50.54589188,0.108798211
C00989,-42.8599728,0.07355144
C01003,-2.28E-13,1.14E-30
C01005,-1366.782176,0.055441962
C01013,-518.4098284,0.380621231
C01019,-2.739552238,0.095155308
C01080,-5.708429524,0.095155308
C01081,656.0465196,0.048405457
C01083,-1582.245289,0.093427091
C01087,-836.0336972,0.261895404
C01089,-516.2325032,0.210355575
C01094,-1760.973907,0.083455771
C01096,-1792.692575,0.142200349
C01099,-683.6857427,0.284151703
C01100,53.59573645,0.106933379
C01101,-1598.174167,0.141551468
C01103,-1904.046813,1.420090495
C01104,102.1985883,0.761242462
C01107,456.5339175,0.051261451
C01112,-1597.837224,0.145272607
C01113,-1754.747081,0.213574605
C01127,-954.4663441,0.159062896
C01131,-670.2933312,0.284151703
C01142,148.9785262,0.159908549
C01143,-456.5339175,0.051261451
C01144,-182.6106164,0.139955023
C01146,-616.8992512,0.182325606
C01157,-0.012450489,0.095155308
C01172,-0.657349308,0.095155308
C01175,-343.2653879,0.120154482
C01179,-470.8096577,0.618044133
C01185,-683.3607607,0.120416999
C01186,60.43638166,0.025371587
C01188,-19.22355351,0.035153085
C01194,3.76E-13,5.12E-31
C01209,1.00E-13,3.37E-31
C01213,-336.9572021,0.32132986
C01217,-44.1521076,0.117881025
C01231,-2595.495861,0.434922846
C01235,0.868761491,0.011894413
C01236,-1748.86898,0.095796966
C01244,24.87489515,0.098589957
C01267,-53.59573645,0.106933379
C01277,8.64E-14,5.82E-31
C01281,-9.53E-14,4.35E-31
C01286,-1767.044173,0.434847329
C01299,-3.07E-13,6.06E-31
C01326,119.5707044,0.380621231
C01342,-79.33359099,0.380621231
C01352,-19.57547438,0.095155308
C01384,-591.9959556,0.380621231
C01412,-130.20179,0.255273998
C01417,-97.3903083,0.380621231
C01438,-34.37724926,0.380621231
C01487,-2.843000584,0.076124246
C01507,-943.269374,0.220021262
C01545,21.08346155,0.098589957
C01563,-377.6131952,0.187875798
C01570,-348.0618989,0.606632587
C01589,41.44442221,0.032389617
C01595,5.263411821,0.095155308
C01613,-0.868761491,0.011894413
C01620,-17.75693949,0.035153085
C01636,-2.13E-13,4.65E-31
C01643,1.48E-13,3.96E-31
C01644,-4.86E-14,5.40E-31
C01646,1.94E-13,4.16E-31
C01648,-2.35E-13,4.11E-31
C01650,-2.33E-13,4.38E-31
C01651,-3.30E-13,6.37E-31
C01653,-4.00E-14,8.43E-31
C01697,-14.31685619,0.098589957
C01721,2.739552238,0.095155308
C01732,-594.1564501,0.320048674
C01755,92.60969181,0.380621231
C01762,-251.4171341,0.121677401
C01796,0.742015411,0.015506791
C01845,-184.7296317,0.194673138
C01847,-19.95458946,0.095155308
C01904,-776.244491,0.499444654
C01931,5.82E-14,8.82E-31
C01959,415.5954852,0.051261451
C01996,-4.733997015,0.0611762
C02022,-1.694172355,0.036652415
C02037,-520.2307276,0.380621231
C02043,-1.53299178,0.098589957
C02045,-43.87452275,0.274628547
C02048,-1579.934826,0.447913751
C02110,40.48050764,0.296384791
C02115,-513.7592644,0.367535009
C02147,-9.232316587,0.020345354
C02163,1.24E-13,2.89E-31
C02226,-598.3108392,0.256806327
C02237,-460.7942581,0.375108418
C02271,-66.08862463,0.380621231
C02280,-768.7367108,0.673570978
C02295,-148.672413,0.442209161
C02305,-1075.121839,0.397269088
C02357,-237.8674064,0.380621231
C02359,-398.6672947,0.380621231
C02364,-393.1668164,0.380621231
C02370,-239.4660441,0.380621231
C02371,-388.1654199,0.380621231
C02405,-598.7391477,0.104593504
C02480,25.46121262,0.019031062
C02553,2.03E-13,7.98E-31
C02554,-6.56E-14,1.01E-30
C02557,106.8856916,0.439973301
C02560,-41.44442221,0.032389617
C02571,-201.6708707,0.133402512
C02588,-77.58406868,0.496128209
C02595,-75.36347707,0.045350088
C02612,-846.300416,0.256806327
C02614,-835.7974576,0.122836576
C02636,-19.13013793,0.105484575
C02637,166.9403043,0.144486259
C02642,-102.7874568,0.038600825
C02652,13.60555813,0.023067451
C02666,13.82690328,0.035754825
C02712,-63.04625493,0.044218646
C02718,-1.671601999,0.143039255
C02763,-302.018105,0.998665364
C02780,23.89297933,0.051614043
C02782,-22.89581248,0.098589957
C02798,-1294.168973,0.411149392
C02839,9.15E-14,5.14E-31
C02930,-152.4236039,0.722313427
C02953,-15.19759563,0.014609201
C02954,-150.175661,0.023817162
C02988,3.11E-14,2.82E-31
C02990,-83.30145127,0.093112221
C02992,-2.61E-14,3.95E-31
C03017,249.7359526,0.486770098
C03044,-16.43234178,0.051012303
C03059,-72.89264707,0.063660362
C03064,17.75693949,0.035153085
C03067,13.20579153,0.099191697
C03082,-1548.57949,0.468268672
C03127,-3.00E-14,2.26E-30
C03149,-415.5954852,0.051261451
C03150,-257.2159913,0.121677401
